"CARRIER","CARRIER_NAME","START_DATE_SOURCE","THRU_DATE_SOURCE",
"BDQ","Aerotaxis De Aguascalientes S.A. De C.V.",2005-04-01,,
"BEA","Business Express Airlines",1985-06-01,2000-12-31,
"BE","Braniff International Airlines Inc.",1991-07-01,1992-05-31,
"BEL","Bellair Inc.",1960-01-01,2001-12-31,
"BEL","Bellair Inc.",2002-01-01,2003-03-31,
"BEN","Bennington Aviation Inc.",1960-01-01,2002-09-30,
"BEQ","Air Belgium",1990-04-01,1992-03-31,
"BER","Bering Air Inc.",1985-06-01,2001-12-31,
"BER","Bering Air Inc.",2002-01-01,2003-03-31,
"BES","Aeroservices Executive",2002-10-01,,
"BEY","Beyer Aviation",1960-01-01,2002-09-30,
"BF","Alaska International Air",1980-10-01,1984-01-31,
"BF","French bee",2018-05-01,,
"BFG","Million Air",1986-03-01,2002-09-30,
"BF","Markair Inc.",1984-02-01,1995-10-31,
"BFQ","Buffalo Airways Inc.",1984-04-01,1996-06-30,
"BG","Biman Bangladesh Airlines",1993-12-01,,
"BGQ","Airbus Transport Internat'l",1998-07-01,2017-06-30,
"BHK","Blackhawk Airways Inc.",1960-01-01,2002-09-30,
"BHO","Bighorn Airways Inc.",1960-01-01,2002-09-30,
"BHQ","Turks Air Ltd.",1981-07-01,1989-12-31,
"BIA","Big Island Air",1985-12-01,2002-09-30,
"BIQ","Servicios Aeronauticos Z S.A. De C.V.",2005-04-01,,
"BIR","Birchwood Air Service",1960-01-01,2002-09-30,
"BJQ","Taxirey S.A. De C.V.",2005-04-01,,
"BKR","Baker Aviation Inc.",1984-09-01,2001-12-31,
"BKR","Baker Aviation Inc.",2002-01-01,2003-03-31,
"BLQ","Air Bvi Limited",1981-07-01,1989-12-31,
"BM","Belize Air International Ltd.",1987-07-01,1994-12-31,
"BMJ","Bemidji Airlines",1981-12-01,2002-09-30,
"BMJ","Bemidji Airlines",2002-10-01,2005-12-31,
"BMT","Bremerton Aviation Inc.",1960-01-01,2002-09-30,
"BN","Braniff Inc.",1984-03-01,1989-12-31,
"BN","Britannia Airways GmbH",1998-11-01,1999-07-31,
"BNQ","BNJ Charter Company",2002-10-01,2004-10-31,
"BNQ","NetJets Large Aircraft Company L.L.C.",2004-11-01,2010-06-30,
"BOA","Boise Air Service",1960-01-01,2002-09-30,
"BOI","Bo-S-Aire Airlines Inc.",1981-06-01,1986-12-31,
"BOQ","Transp. Aereos Bolivianos",1981-07-01,1993-12-31,
"BQ","Aeromar C. Por A.",1995-01-01,2000-12-31,
"BR","Cal Air International Ltd.",1981-07-01,1992-11-30,
"BR","Eva Airways Corporation",1992-12-01,,
"BRK","Barken International",1985-06-01,2002-09-30,
"BRO","Brower Airways Inc.",1960-01-01,2002-09-30,
"BRQ","Caledonian Airways",1988-05-01,2000-02-29,
"BRQ","Jmc",2000-03-01,2003-03-31,
"BRQ","Thomas Cook Airlines Uk Ltd.",2003-04-01,2008-04-30,
"BRT","Britt Airways Inc.",1960-01-01,1980-12-31,
"BRT","Continental Express",1987-07-01,1994-12-31,
"BRW","Barrow Air",1985-12-01,1993-12-31,
"BSA","Big Sky Airlines Inc.",1960-01-01,2002-09-30,
"BSA","Big Sky Airlines Inc.",2002-10-01,2005-12-31,
"BTQ","Brasair Transportes Aereos",1995-04-01,1998-02-28,
"BUH","Business Helicopters",1993-09-01,2002-09-30,
"BUQ","Blue Bell Inc.",1983-06-01,1984-02-29,
"BUQ","Wrangler Aviation Inc.",1990-03-01,1993-01-31,
"BUR","Burlington Airways Inc.",1960-01-01,2002-09-30,
"BW","British West Indian Airways",1981-07-01,2006-12-31,
"BW","Caribbean Airlines Limited",2007-01-01,,
"BX","Air Busan",2015-07-01,,
"BXQ","Spantax S. A.",1981-07-01,1989-12-31,
"BYA","Bay Air",1985-12-01,1987-12-31,
"BY","Britannia Airways Ltd.",1989-04-01,,
"BZQ","Abaco Air, Ltd.",2005-08-01,2013-07-31,
"C2","Challenge Air Cargo Inc.",1986-07-01,2001-07-31,
"C5","Commutair Aka Champlain Enterprises, Inc.",2005-07-01,2020-09-30,
"C5","Commutair Aka Champlain Enterprises, Inc.",2020-10-01,,
"C6","Canjet Airlines",2004-01-01,,
"C8","Cargolux Italia SpA",2013-05-01,,
"C8","Chicago Express Airlines",2000-10-01,2005-04-30,
"CA","Air China",1981-07-01,,
"CAC","Coleman Air Transport",1960-01-01,2002-09-30,
"CAF","California Seaboard",1985-09-01,2002-09-30,
"CAI","Crawford Aviation Inc.",1960-01-01,2002-09-30,
"CAM","C & M Airlines",1960-01-01,2002-09-30,
"CAP","Metro Air Northeast N Y",1960-01-01,2002-09-30,
"CAQ","Challenge Air Luftverkehrs GmbH",2005-09-01,,
"CAT","Catalina Airlines Inc.",1960-01-01,2002-09-30,
"CAV","Air Virginia",1960-01-01,2002-09-30,
"CAZ","CAT Aviation",2007-11-01,,
"CBA","Carriba Air Inc.",1960-01-01,2002-09-30,
"CB","Air One Inc.",1983-03-01,1984-10-31,
"CCA","Cityhop",1985-12-01,2002-09-30,
"CC","Air Atlanta Icelandic",1997-11-01,,
"CC","Air Atlanta Inc.",1984-02-01,1987-04-30,
"CCD","Cascade Airways Inc.",1960-01-01,1980-02-29,
"CCO","Chester County Aviation",1987-10-01,2002-09-30,
"CCQ","Capital Cargo International",1996-04-01,1999-12-31,
"CCQ","Capital Cargo International",2000-01-01,2004-06-30,
"CDQ","American International Airways Inc.",1991-07-01,1999-01-31,
"CDQ","Connie Kalitta Services",1989-01-01,1991-06-30,
"CDQ","Kitty Hawk International",1999-02-01,2002-12-31,
"CEA","Corporate Airlines",1997-03-01,2002-09-30,
"CEN","Cen-Tex Airlines Inc.",1960-01-01,2002-09-30,
"CEQ","All Canada Express",2002-09-01,2005-10-31,
"CET","Century Airlines (Cal)",1960-01-01,2002-09-30,
"CF","Compan. De Aviacion Faucett",1981-07-01,1998-01-31,
"CGA","Chicago Airlines",1986-06-01,2002-09-30,
"CGE","Chicago Express Airlines",1993-12-01,2000-09-30,
"CGL","Viking International Airlines Inc.",1981-06-01,1996-12-31,
"CGO","Chicago Air Taxi",1991-03-01,2002-09-30,
"CGQ","Aerochago S.A.",1985-01-01,1993-06-30,
"CHA","Chautauqua Airlines Inc.",1960-01-01,2002-09-30,
"CHA","Chautauqua Airlines Inc.",2002-10-01,2004-07-31,
"CH","Bemidji Airlines",2006-01-01,,
"CHD","Chandler Flyer",1960-01-01,2002-09-30,
"CHE","Charter Airlines",1960-01-01,2002-09-30,
"CHF","Hammonds Commuter Air Serv.",1960-01-01,2002-09-30,
"CHI","Chitina Air Service",1960-01-01,1986-12-31,
"CHL","Channel Flying Inc.",1960-01-01,1990-12-31,
"CHO","Choi Aviation Inc.",1960-01-01,2002-09-30,
"CHS","Christman Air System",1960-01-01,2002-09-30,
"CHT","Charter One",1990-10-01,2002-09-30,
"CI","China Airlines Ltd.",1981-07-01,,
"CIQ","A/S Conair",1982-12-01,1994-12-31,
"CIS","Cal Sierra Airlines",1960-01-01,2002-09-30,
"CJ","Colgan Airways Inc.",1981-04-01,1983-03-31,
"CJQ","Air Caribbean",1981-07-01,1996-12-31,
"CK","China Cargo Airline",2003-12-01,,
"CKI","Inlet Airlines",1960-01-01,1991-12-31,
"CLB","Columbia Pacific Airlines",1989-09-01,2002-09-30,
"CL","Capitol International Inc.",1960-01-01,1984-12-31,
"CLD","Hawaii Pacific Helicopters",1985-05-01,2002-09-30,
"CLF","California Air Shuttle",1990-03-01,2002-09-30,
"CLQ","Aero Transcolombiana",1993-03-01,2000-08-31,
"CMB","Combs Airways Inc.",1981-06-01,1986-12-31,
"CM","Compania Panamena (Copa)",1986-03-01,,
"CMD","Command Airways Inc.",1960-01-01,1991-12-31,
"CMI","Comair Inc.",1960-01-01,2000-04-30,
"CMQ","Servicio De Carga Aerea Sa",1983-02-01,1989-12-31,
"CMR","Commuter Airlines (Ca)",1985-06-01,2002-09-30,
"CMT","Commutair Aka Champlain Enterprises, Inc.",1989-09-01,2002-09-30,
"CMT","Commutair Aka Champlain Enterprises, Inc.",2002-10-01,2005-06-30,
"CNN","Centennial Airlines",1960-01-01,2002-09-30,
"COB","Cotton Belt Aviation Inc.",1960-01-01,2002-09-30,
"COC","Cochise Airlines Inc.",1960-01-01,1984-12-31,
"CO","Continental Air Lines Inc.",1960-01-01,2011-12-31,
"COK","Coker Aviation Inc.",1960-01-01,2002-09-30,
"COL","Presidential Express",1960-01-01,1988-12-31,
"COM","Commutair",1960-01-01,2002-09-30,
"COR","Coral Air Inc.",1960-01-01,2002-09-30,
"COS","Cosmopolitan Comm. Airline",1960-01-01,2002-09-30,
"COT","Southeastern Commuter",1960-01-01,2002-09-30,
"COU","Courtesy Air Service Inc.",1960-01-01,2002-09-30,
"CPA","Capitol Air Lines",1960-01-01,2002-09-30,
"CP","Canadian Airlines International Ltd.",1981-07-01,2001-02-28,
"CPC","Coastal Plains Commuter Inc.",1960-01-01,2002-09-30,
"CP","Compass Airlines",2007-05-01,2009-12-31,
"CP","Compass Airlines",2010-01-01,,
"CPE","Cape Air",1989-06-01,2002-09-30,
"CPQ","Capitol Air Express Inc.",1993-01-01,1994-12-31,
"CPT","Capitol Air",1994-12-01,2002-09-30,
"CQI","Conquest Airline Corp.",1990-03-01,1996-12-31,
"CRA","Commuter Airlines",1960-01-01,2002-09-30,
"CRB","Caribair",1994-03-01,2002-09-30,
"CRE","Caribbean Express Inc.",1983-12-01,2002-09-30,
"CRH","Cresent Medivac",1985-06-01,2002-09-30,
"CRN","Crown Aviaiton Inc.",1960-01-01,2002-09-30,
"CRO","Crown Airways Inc.",1960-01-01,2002-09-30,
"CRP","Corporate Air",1990-09-01,2002-09-30,
"CRQ","Conner Air Lines Inc.",1987-01-01,1989-02-28,
"CRT","Crested Butte Air Service",1960-01-01,2002-09-30,
"CRV","Acropolis Aviation Ltd.",2010-05-01,,
"CSA","Casino Airlines",2000-07-01,2002-09-30,
"CS","Continental Micronesia",1993-04-01,2010-12-31,
"CSK","Catskill Airways Inc.",1960-01-01,2002-09-30,
"CSL","Central States Air Lines",1989-09-01,2002-09-30,
"CSM","Chisum Flying Service",1985-06-01,1986-12-31,
"CSN","Casino Airlines",1997-09-01,1999-06-30,
"CSQ","Celtic Tech Jet Ltd.",2005-01-01,,
"CSY","Cape Smythe Air Service",1960-01-01,2001-12-31,
"CSY","Cape Smythe Air Service",2002-01-01,2003-03-31,
"CTA","Century Airlines",1960-01-01,2002-09-30,
"CTH","Cothron Aviation",1960-01-01,2002-09-30,
"CTL","Coastal Air Transport",1985-06-01,2002-09-30,
"CTQ","Custom Air Transport",1995-12-01,2005-12-31,
"CTQ","Custom Air Transport",2006-01-01,2007-09-30,
"CTR","Chartair",1988-06-01,2002-09-30,
"CUQ","Caicos Caribbean Airways",1985-07-01,1996-10-31,
"CUS","Custom Air Service",1988-03-01,2002-09-30,
"CVA","Catalina-Vegas Airlines",1960-01-01,2002-09-30,
"CV","Cargolux Airlines International S.A",1981-07-01,,
"CVQ","Caraven S.A.",1991-02-01,1998-12-31,
"CW","Air Marshall Islands Inc.",1990-02-01,1996-04-30,
"CWQ","Canadian Aviation Express",1989-03-01,1989-12-31,
"CX","Cathay Pacific Airways Ltd.",1986-07-01,,
"CXQ","Casino Express",1989-07-01,1991-12-31,
"CYQ","Corse Air International",1988-07-01,,
"CZ","Cascade Airways Inc.",1980-03-01,1985-11-30,
"CZ","China Southern Airlines",1997-06-01,,
"CZQ","Aviation Concepts",2004-01-01,2008-03-31,
"D7","Air Asia X Berhad dba Airasia X",2015-11-01,,
"D8","Norwegian Air International Ltd.",2017-06-01,,
"DA","Dan Air Services",1981-07-01,1989-12-31,
"DAN","Danbury Airlines",1960-01-01,2002-09-30,
"DAU","Dauphin Island Airways",1980-09-01,2002-09-30,
"DB","Maleth Aero AOC Ltd.",2020-10-01,,
"DC","Caribbean Air Cargo Co Ltd.",1985-10-01,1992-05-31,
"DEA","Downeast Airlines Inc.",1960-01-01,2002-09-30,
"DEC","Decatur Aviation",1960-01-01,2002-09-30,
"DE","Condor Flugdienst",1997-02-01,,
"DFQ","Condor Flugdienst",1981-07-01,1997-01-31,
"DFS","Downeast Flying Service",1995-06-01,2002-09-30,
"DH","Atlantic Coast Airlines",2002-10-01,2002-12-31,
"DH","Atlantic Coast Airlines",2003-01-01,2004-09-30,
"DH","Discovery Airways Inc.",1990-03-01,1990-07-31,
"DH","Independence Air",2004-10-01,2005-12-31,
"DHL","DHL Airlines Inc.",1960-01-01,2002-09-30,
"DHQ","DHL Aero Expresso",1996-11-01,,
"DIA","Drummond Island Air",1990-09-01,2002-09-30,
"DIC","Dickman Aviation Services",1960-01-01,2002-09-30,
"DI","Norwegian Air UK Limited",2018-03-01,,
"DIR","Northern Star",1981-09-01,2002-09-30,
"DL","Delta Air Lines Inc.",1960-01-01,,
"DM","Maersk Air I/S",1981-07-01,1989-12-31,
"DO","Compania Dominicana De Avia",1981-07-01,1994-12-31,
"DOL","Dolphin Airways Inc.",1981-12-01,2002-09-30,
"DOQ","Aerolineas Dominicanas S A",1981-07-01,1989-12-31,
"DPA","Desert Pacific Airways",1960-01-01,2002-09-30,
"DPI","Desert Pacific Airlines Inc.",1960-01-01,2002-09-30,
"DQQ","Caribwest Airways Ltd.",1981-07-01,1989-12-31,
"DRQ","Apa International Air S.A.",1983-11-01,1990-10-31,
"DSA","Desert Sun Airlines",1982-09-01,2002-09-30,
"DST","Desert Airlines",1960-01-01,2002-09-30,
"DUL","Dulles Express",1991-09-01,2002-09-30,
"DUZ","Summit Airlines Inc.",1981-06-01,1986-12-31,
"DVO","Devoe Airlines",1981-12-01,2002-09-30,
"DWN","Dawn Air",1991-01-01,2002-09-30,
"DXA","Dolphin Express",1994-12-01,2002-09-30,
"DY","Norwegian Air Shuttle ASA",2013-05-01,,
"E0","EOS Airlines, Inc.",2005-10-01,2006-12-31,
"E0","EOS Airlines, Inc.",2007-01-01,2008-06-30,
"E72","European Aviation Air Charter",2002-10-01,,
"E7","Estafeta Carga Aereas",2002-01-01,,
"E8","USAfrica Airways Inc.",1994-06-01,1995-02-28,
"E9","Boston-Maine Airways",2003-04-01,2004-12-31,
"E9","Boston-Maine Airways",2005-01-01,2005-12-31,
"E9","Boston-Maine Airways",2006-01-01,2008-06-30,
"E9","Evelop Airlines SL",2017-10-01,,
"EA","Eastern Air Lines Inc.",1960-01-01,1991-01-31,
"EAI","Executive Aviation Inc.",1960-01-01,2002-09-30,
"EAQ","Executive Airlines, SL",2006-02-01,,
"EAS","Eastern Caribbean Airways",1960-01-01,2002-09-30,
"EAT","Eastman Airways Inc.",1983-06-01,2002-09-30,
"EAU","Elitavia Malta Limited",2019-01-01,,
"EBQ","Execaire Aviation Ltd.",1981-07-01,1989-12-31,
"EB","WAMOS AIR SA",2020-03-01,,
"ECA","Eagle Airlines",1960-01-01,1991-12-31,
"ECI","Eastern Carolina Aviation",1960-01-01,2002-09-30,
"ECL","Eclipse Airlines",1993-03-01,1995-12-31,
"ECQ","Trans American Charter",1993-04-01,1995-09-30,
"ECR","East Coast Airways",1987-10-01,2002-09-30,
"ED","Andes",1981-07-01,1997-02-28,
"EDE","Ede Aire",1960-01-01,2002-09-30,
"EE","Eastern Airlines Group Inc.",2015-07-01,2017-09-30,
"EET","Exec Express II",1988-06-01,1999-12-31,
"EEX","Exec Express",1985-06-01,2002-09-30,
"EEZ","Eagle Aviation Inc.",1981-06-01,1986-12-31,
"EFA","Executive Four Winds",1960-01-01,2002-09-30,
"EFQ","Trans Europ. Airways France",1991-03-01,1992-01-31,
"EGA","Eagle Airline",1985-06-01,1996-12-31,
"EGC","Eagle Canyon Airlines",1995-09-01,2001-12-31,
"EGC","Eagle Canyon Airlines d/b/a Scenic Airlines",2002-01-01,2002-09-30,
"EGJ","Eagle Jet Charter",1996-03-01,2002-09-30,
"EGL","Eagle Commuter Airlines Inc.",1960-01-01,2002-09-30,
"EHA","East Hampton Aire Inc.",1960-01-01,2002-09-30,
"EH","Saeta Airlines",1988-03-01,2002-11-30,
"EIA","East. Indiana Aviation Sale",1960-01-01,2002-09-30,
"EI","Aer Lingus Plc",1982-11-01,,
"EJQ","Aeroejecutivos C.A.",1990-01-01,1995-01-31,
"EKA","Air Pacific Inc.",1960-01-01,2002-09-30,
"EK","Emirates",2004-06-01,,
"ELL","Ellis Air Taxi Inc.",1984-03-01,2002-09-30,
"ELL","Ellis Air Taxi Inc.",2002-10-01,,
"EMA","Emerald Airlines",1960-01-01,1991-12-31,
"EME","Metro Express",1984-06-01,2002-09-30,
"EM","Empire Airlines Inc.",1993-01-01,1994-12-31,
"EM","Empire Airlines Inc.",2002-10-01,,
"EMP","Empire Airlines Inc.",1960-01-01,2002-09-30,
"ENT","Enterprise Airlines Inc.",1985-09-01,2002-09-30,
"EOQ","Aeroservicios Ecuatorianos",1982-07-01,1997-12-31,
"EPA","Empire Airlines Inc.",1984-03-01,1992-12-31,
"EP","All Star Airlines Inc.",1983-04-01,1985-10-31,
"EQ","Tame Linea Aerea del Ecuador Tme EP",2013-09-01,,
"ERA","Era Aviation",1983-06-01,2001-12-31,
"ERA","Era Aviation",2002-01-01,2003-03-31,
"ER","Astar Air Cargo Inc.",2003-07-01,2010-12-31,
"ER","Astar USA, LLC",2011-01-01,2012-06-30,
"ER","DHL Airways",1992-04-01,2002-12-31,
"ER","DHL Airways",2003-01-01,2003-06-30,
"ERI","Erie Airways Inc.",1960-01-01,2002-09-30,
"ERO","Empire Aero Service",1960-01-01,2002-09-30,
"ERQ","Aero Trades (Western) Ltd.",1981-07-01,1989-12-31,
"ESQ","Seagreen Air Transport",1981-11-01,2001-08-31,
"ET","Ethiopian Airlines",1998-06-01,,
"EU","Ecuatoriana De Aviacion",1996-07-01,2000-09-30,
"EU","Empresa Ecuatoriana De Avia",1981-07-01,1993-09-30,
"EUQ","Air Atlanta Europe",2004-03-01,2006-04-30,
"EVA","Evanston Aviation",1960-01-01,2002-09-30,
"EV","Atlantic Southeast Airlines",1993-07-01,2005-12-31,
"EV","Atlantic Southeast Airlines",2006-01-01,2010-12-31,
"EV","Atlantic Southeast Airlines",2011-01-01,2011-12-31,
"EV","ExpressJet Airlines Inc.",2013-01-01,2018-12-31,
"EV","ExpressJet Airlines Inc.",2019-01-01,2019-03-31,
"EV","ExpressJet Airlines LLC",2019-04-01,,
"EVQ","Aeroejecutivo S.A.",1990-01-01,1997-02-28,
"EWA","Rio Grande Air",1999-03-01,2002-09-30,
"EWA","Rio Grande Air",2002-10-01,2004-06-30,
"EW","Eurowings GmbH",2016-06-01,,
"EXA","Columbia Pacific Airlines",1960-01-01,2002-09-30,
"EXC","Executive Charter",1983-09-01,1986-12-31,
"EXC","Hapag-Lloyd Executive GmbH",2010-11-01,2014-07-31,
"EXP","Express Airlines II",1993-03-01,2002-09-30,
"EXQ","Export Air Del Peru S.A.",1993-04-01,1998-12-31,
"EXR","Executive Transport",1986-09-01,2002-09-30,
"EXT","Executive Air Charter",1985-09-01,1990-06-30,
"EY","Etihad Airways",2006-10-01,,
"EZ","Evergreen International Inc.",1979-01-01,1994-06-30,
"EZ","Evergreen International Inc.",1994-07-01,2013-12-31,
"F2","Omega Air Holdings d/b/a Focus Air",2005-08-01,2006-12-31,
"F2","Omega Air Holdings d/b/a Focus Air",2007-01-01,2008-09-30,
"F8","Freedom Airlines d/b/a HP Expr",2002-10-01,2004-12-31,
"F8","Freedom Airlines d/b/a HP Expr",2005-01-01,2010-09-30,
"F9","Frontier Airlines Inc.",1994-07-01,1997-12-31,
"F9","Frontier Airlines Inc.",1998-01-01,2006-12-31,
"F9","Frontier Airlines Inc.",2007-01-01,,
"FAA","Falwell Aviation Inc.",1981-06-01,1986-12-31,
"FAC","Falcon Airways Inc.",1981-06-01,1986-12-31,
"FAQ","Fast Air Carrier Ltd.",1981-07-01,1989-12-31,
"FAR","Federal Armored Service Inc.",1960-01-01,2002-09-30,
"FBI","Young Flying Service",1960-01-01,2002-09-30,
"FB","Translift Airways Limited",1992-05-01,1994-12-31,
"FCA","Southern Airlines Inc.",1960-01-01,2002-09-30,
"FC","Fast Colombia SAS d/b/a Viva Colombia",2015-12-01,2019-01-31,
"FCQ","Falcon Air Express",1996-03-01,2000-12-31,
"FCQ","Falcon Air Express",2001-01-01,2006-12-31,
"FCQ","Falcon Air Express",2007-01-01,2013-12-31,
"FCQ","Falcon Air Express",2014-01-01,2015-06-30,
"FDA","Florida Airlines Inc.",1960-01-01,2002-09-30,
"FD","Air Puerto Rico Airlines",1986-10-01,1987-03-31,
"FD","Great American Airways",1980-08-01,1986-09-30,
"FDM","Freedom Airlines Inc.",1960-01-01,2002-09-30,
"FDQ","Great American Airways",1986-10-01,1997-04-30,
"FED","Federal Express Corporation",1981-06-01,1985-12-31,
"FE","Primaris Airlines Inc.",2003-06-01,2008-12-31,
"FFQ","Five Star Airlines",1985-12-01,1989-06-30,
"FFS","Frontier Flying Service",1981-06-01,1983-11-30,
"FFS","Frontier Flying Service",1983-12-01,2001-12-31,
"FFS","Frontier Flying Service",2002-01-01,2003-03-31,
"FF","Tower Air Inc.",1983-11-01,2000-09-30,
"FGS","Flagship Airlines Inc.",1991-09-01,1997-12-31,
"FH","Frontier Horizon Inc.",1984-01-01,1985-03-31,
"FI","Icelandair",1981-07-01,,
"FJ","Air Pacific Ltd.",1981-07-01,1989-12-31,
"FJ","Air Pacific Ltd.",1994-07-01,,
"FLA","Florida Air",1992-03-01,2002-09-30,
"FL","AirTran Airways Corporation",1994-09-01,1998-04-30,
"FL","AirTran Airways Corporation",1998-05-01,2005-12-31,
"FL","AirTran Airways Corporation",2006-01-01,2014-12-31,
"FL","Frontier Airlines Inc.",1960-01-01,1986-08-31,
"FLM","Flamenco Airways Inc.",1960-01-01,2002-09-30,
"FLR","Flirite Inc.",1985-01-01,1986-12-31,
"FM","Federal Express Corporation",1986-01-01,1996-07-31,
"FNQ","Fine Airlines Inc.",1992-10-01,1994-12-31,
"FNQ","Fine Airlines Inc.",1995-01-01,1999-12-31,
"FNQ","Fine Airlines Inc.",2000-01-01,2000-07-31,
"FOR","Ford-Aire Inc.",1960-01-01,2002-09-30,
"FOS","Foster Aviation",1960-01-01,2002-09-30,
"FP","TAG Aviation S.A.",2008-01-01,,
"FQ","Air Aruba",1990-04-01,2000-08-31,
"FRA","Freedom Air",1960-01-01,2002-09-30,
"FRA","Freedom Air",2004-01-01,2014-03-31,
"FRS","Four Star Aviation",1993-09-01,2002-09-30,
"FRT","Frontier Commuter",1984-06-01,2002-09-30,
"FRW","Farwest Airlines",2000-09-01,2002-09-30,
"FSA","F.S. Air Service",1992-03-01,2001-12-31,
"FSA","F.S. Air Service",2002-01-01,2004-12-31,
"FS","Serv De Trans Aereos Fuegui",1995-10-01,2001-11-30,
"FT","Flying Tiger Line Inc.",1960-01-01,1989-07-31,
"FTI","Southern Airways",1978-09-01,1979-12-31,
"FVA","Skycraft Inc.",1960-01-01,2002-09-30,
"FWA","Far West Airlines",1960-01-01,2002-09-30,
"FW","Skybus Inc.",1985-07-01,1986-11-30,
"FX","Federal Express Corporation",1996-08-01,,
"FYB","Flying Boat",1991-01-01,2002-09-30,
"FYQ","Flying Group Lux S.A.",2018-01-01,,
"G3","Aerochago S.A.",1993-07-01,2000-05-31,
"G3","VRG Linhas Aereas S A",2012-12-01,,
"G4","Allegiant Air",2000-04-01,2003-12-31,
"G4","Allegiant Air",2004-01-01,2005-12-31,
"G4","Allegiant Air",2006-01-01,2015-12-31,
"G4","Allegiant Air",2016-01-01,,
"G7","GoJet Airlines LLC d/b/a United Express",2005-09-01,2007-12-31,
"G7","GoJet Airlines LLC d/b/a United Express",2008-01-01,,
"G9","Grant Aviation",2003-04-01,2005-09-30,
"GAL","Galena Air Service",1986-09-01,1989-12-31,
"GA","P.T. Garuda Indonesian Arwy",1985-11-01,1998-03-31,
"GAQ","Galaxy Airlines Inc.",1983-10-01,1987-03-31,
"GAS","General Aviation Inc.",1960-01-01,2002-09-30,
"GAT","Gulf Air Taxi",1990-09-01,2001-12-31,
"GAV","Gromer Aviation Inc.",1960-01-01,2002-09-30,
"GBA","Central States Airline",1960-01-01,2002-09-30,
"GBQ","G5 Executive Ag",2002-10-01,2015-10-31,
"GCA","Golden Carriage Aire",1960-01-01,2002-09-30,
"GCH","Grand Canyon Helicopters",1983-09-01,2002-09-30,
"GCH","Grand Canyon Helicopters",2002-10-01,,
"GCQ","General Air Cargo",1991-03-01,1993-07-31,
"GCQ","Glock Aviation GmbH",2018-06-01,,
"GCS","Midway Commuter",1960-01-01,2002-09-30,
"GD","Transp. Aereos Ejecutivos",1993-07-01,2001-08-31,
"GDW","Golden West Airlines Inc.",1996-12-01,2002-09-30,
"GE","Lufthansa Cargo Airlines",1981-07-01,1996-11-30,
"GEQ","Gestair, S.A.",2019-01-01,,
"GFC","Gulf Flite Center",1990-09-01,2002-09-30,
"GF","Gulf Air Company",1994-07-01,1997-02-28,
"GF","Gulf Air Transport Inc.",1981-12-01,1990-03-31,
"GFQ","Gulf And Caribbean Cargo",1998-12-01,2006-12-31,
"GFQ","Gulf And Caribbean Cargo",2007-01-01,2009-12-31,
"GFQ","Gulf And Caribbean Cargo",2010-01-01,2011-12-31,
"GFQ","Gulf And Caribbean Cargo",2012-01-01,,
"GG","Cargo 360, Inc.",2006-04-01,2007-12-31,
"GG","Grenada Airways Ltd.",1986-01-01,1989-12-31,
"GHA","Green Hills Aviation Ltd.",1960-01-01,2002-09-30,
"GH","Ghana Airways Corporation",1994-10-01,2004-08-31,
"GIQ","Global International Airways Corp.",1981-03-01,1985-03-31,
"GJ","Eurofly S.p.A",2006-01-01,2010-06-30,
"GJ","Mexicargo",1996-02-01,1998-03-31,
"GKQ","Laker Airways",1981-07-01,1989-12-31,
"GLA","Great Lakes Aviation Ltd.",1982-09-01,2002-09-30,
"GLA","Great Lakes Aviation Ltd.",2002-10-01,2003-06-30,
"GLF","Gulfstream Int",1990-12-01,2002-09-30,
"GLF","Gulfstream Int",2002-10-01,2004-07-31,
"GL","Miami Air International",2004-08-01,2005-12-31,
"GL","Miami Air International",2006-01-01,,
"GLQ","Allegiant Air",1998-07-01,2000-03-31,
"GLW","Golden West Airlines Co.",1960-01-01,1985-12-31,
"GMA","Green Mountain Airlines Ltd.",1960-01-01,2002-09-30,
"GM","Air America",1988-01-01,1990-03-31,
"GOF","Copper State Airlines",1960-01-01,2002-09-30,
"GPA","GP Express Airlines",1985-12-01,2002-09-30,
"GQ","Big Sky Airlines Inc.",2006-01-01,2008-03-31,
"GRA","Gorda Aero Service",1994-03-01,2002-09-30,
"GRD","Grand Canyon Airlines",1983-03-01,2002-09-30,
"GR","Gemini Air Cargo Airways",1996-10-01,1999-12-31,
"GR","Gemini Air Cargo Airways",2000-01-01,2008-09-30,
"GRO","Isle Royale Seaplane Serv.",1960-01-01,2002-09-30,
"GRT","Grant Aviation",1994-03-01,2001-12-31,
"GRT","Grant Aviation",2002-01-01,2003-03-31,
"GSA","Golden Gate Airlines Inc.",1960-01-01,1984-12-31,
"GS","Air Foyle Limited",1992-01-01,2001-11-30,
"GSC","GCS Air Service",1988-03-01,2002-09-30,
"GS","Grant Aviation",2005-10-01,2006-12-31,
"GSL","Golden South Airlines Inc.",1960-01-01,2002-09-30,
"GSQ","Global Supply System",2002-10-01,,
"GST","Golden State Airlines",1988-03-01,2002-09-30,
"GU","Aviateca",1981-07-01,2000-02-29,
"GU","Aviateca, S.A.",2018-11-01,,
"GUL","Gull Air Inc.",1960-01-01,2002-09-30,
"GUN","Gunnel Aviation Inc.",1960-01-01,2002-09-30,
"GV","Grant Aviation",2007-01-01,,
"GWA","Great Western Aviation",1991-03-01,2002-09-30,
